id,followers,genres,name,popularity
2upiPAdo6THtRqkDCvS0nO,2579.0,[],OJ Mariano,34
4tau6kb2cFRl2sjgDRV05B,3249.0,[],Princess Velasco,36
1RGsG5moNSsTiOUOvJ2F0J,19034.0,"['classic opm', 'kundiman']",Didith Reyes,30
5SilYJCMwvJ7R6zBkysVgL,10533.0,"['lovers rock', 'old school dancehall']",Pam Hall,31
1Q5YLiz82Mo75MIQMt9XON,578.0,[],Banyuhay Ni Heber,23
4R1dpQ2VCZsEutiXZKeIzk,1408.0,[],The Pinnacle Gospel Choir,51
5ThJpgpzCFNIWL21T8aoeW,13.0,[],Brando,32
7v09sVaPjdkXyRb78Q1e17,22583.0,['classic opm'],Coritha,36
2DQsTcDI6YQaIKgY1FjH1M,8087.0,"['opm', 'pinoy pop punk', 'pinoy rock']",Letter Day Story,30
3eElkb6qnZjK5yMZBM1Rzr,968.0,[],Ezra Band,32
5AvCP5qzxTmk4cQmh0SUEw,3918.0,[],Milky,38
0GMSTrBKMucDuHH46oXvqo,1224.0,['manila sound'],Rainmakers,32
6uzOSeOh07b07QjYHRdF2c,1992.0,['classic opm'],Passage,31
4GHa4pyuelazwyhdLo5AwL,60383.0,"['neon pop punk', 'piano rock', 'pop emo', 'pop punk', 'screamo']",Amber Pacific,42
4dTcd3R8sIuVhoOlqgqr0V,6297.0,['country pop'],Emily Hackett,41
6yk6AUYniuCmUkf7D63AUW,8744.0,['opm'],Somedaydream,39
5a6nqHiBS9v3CxYOs7ttET,38846.0,"['r&b', 'urban contemporary']",TQ,46
5mCZyk5bpFDIYbGljMp8Ej,9418.0,['pinoy reggae'],Jeck Pilpil & Peacepipe,33
4kzKZExmgB0xijgF6blONc,1724.0,['piano cover'],David Huntsinger,43
3V8Gdws52TzoL8WLZHvpzc,111407.0,"['neo mellow', 'pop rock']",SafetySuit,50
6Isq5QAXFUqu6WkFcEAyF1,97.0,[],에이 스타일,34
4GzuNU3GlvlfNB4xweeTVR,1061.0,[],Lee Young Hyun,27
34cGwuKaXOEJlytCGL1egm,14455.0,['classic opm'],Faith Cuneta,30
